index,btc_HWES
100,790.7496373
101,792.4826156
102,794.215594
103,795.9485723
104,797.6815506
105,799.414529
106,801.1475073
107,802.8804857
108,804.613464
109,806.3464424
110,808.0794207
111,809.812399
112,811.5453774
113,813.2783557
114,815.0113341
115,1027.51741
116,1038.905041
117,1050.292672
118,1061.680304
119,1073.067935
120,1084.455566
121,1095.843197
122,1107.230828
123,1118.618459
124,1130.00609
125,1141.393721
126,1152.781352
127,1164.168983
128,1175.556614
129,1186.944245
130,907.5044827
131,910.3850085
132,913.2655342
133,916.14606
134,919.0265858
135,921.9071116
136,924.7876374
137,927.6681632
138,930.548689
139,933.4292147
140,936.3097405
141,939.1902663
142,942.0707921
143,944.9513179
144,947.8318437
145,985.9328849
146,989.1319204
147,992.3309559
148,995.5299914
149,998.7290269
150,1001.928062
151,1005.127098
152,1008.326133
153,1011.525169
154,1014.724204
155,1017.92324
156,1021.122275
157,1024.321311
158,1027.520347
159,1030.719382
160,1038.664675
161,1042.133117
162,1045.601558
163,1049.07
164,1052.538442
165,1056.006883
166,1059.475325
167,1062.943767
168,1066.412208
169,1069.88065
170,1073.349092
171,1076.817534
172,1080.285975
173,1083.754417
174,1087.222859
175,1292.378364
176,1298.000764
177,1303.623164
178,1309.245564
179,1314.867964
180,1320.490363
181,1326.112763
182,1331.735163
183,1337.357563
184,1342.979963
185,1348.602363
186,1354.224763
187,1359.847163
188,1365.469563
189,1371.091963
190,969.5062143
191,971.3867787
192,973.267343
193,975.1479073
194,977.0284716
195,978.9090359
196,980.7896003
197,982.6701646
198,984.5507289
199,986.4312932
200,988.3118575
201,990.1924219
202,992.0729862
203,993.9535505
204,995.8341148
205,1081.24778
206,1082.417627
207,1083.587474
208,1084.757321
209,1085.927169
210,1087.097016
211,1088.266863
212,1089.43671
213,1090.606557
214,1091.776404
215,1092.946251
216,1094.116099
217,1095.285946
218,1096.455793
219,1097.62564
220,1180.408201
221,1183.758635
222,1187.10907
223,1190.459505
224,1193.80994
225,1197.160374
226,1200.510809
227,1203.861244
228,1207.211678
229,1210.562113
230,1213.912548
231,1217.262983
232,1220.613417
233,1223.963852
234,1227.314287
235,1453.279788
236,1458.953317
237,1464.626846
238,1470.300375
239,1475.973904
240,1481.647433
241,1487.320962
242,1492.994491
243,1498.66802
244,1504.341549
245,1510.015078
246,1515.688607
247,1521.362136
248,1527.035665
249,1532.709194
250,1791.314796
251,1798.649593
252,1805.984389
253,1813.319185
254,1820.653981
255,1827.988777
256,1835.323573
257,1842.658369
258,1849.993165
259,1857.327961
260,1864.662757
261,1871.997553
262,1879.332349
263,1886.667145
264,1894.001941
265,2422.732929
